year,month,product,location,type,price_then,price_now
2026,July,Nizana,Kisumu,Deal of the Week,1600.0,1200.0
2026,July,Oval Handbag,Kisumu,Deal of the Week,1600.0,1200.0
2026,July,Washbag,Kisumu,Deal of the Week,1600.0,1200.0
2026,July,Avana,Kitengela,Deal of the Week,2100.0,1700.0
2026,July,Baby Bag,Kitengela,Deal of the Week,4600.0,4200.0
2026,July,Imani,Kitengela,Deal of the Week,3000.0,2600.0
2026,July,Jamela,Kitengela,Deal of the Week,3600.0,3200.0
2026,July,Liam,Kitengela,Deal of the Week,2100.0,1700.0
2026,July,Nizana,Kitengela,Deal of the Week,1600.0,1200.0
2026,July,Prime,Kitengela,Deal of the Week,2800.0,2400.0
2026,July,Remi,Kitengela,Deal of the Week,2700.0,2300.0
2026,July,Sierra Handbag,Kitengela,Deal of the Week,2700.0,2300.0
2026,July,Standard Travel,Kitengela,Deal of the Week,2600.0,2200.0
2026,July,Brief Case,Meru,Deal of the Week,2800.0,2400.0
2026,July,Jamela,Meru,Deal of the Week,3600.0,3200.0
2026,July,Kai,Meru,Deal of the Week,2800.0,2400.0
2026,July,Kate,Meru,Deal of the Week,1600.0,1200.0
2026,July,Moon Bag,Meru,Deal of the Week,1600.0,1200.0
2026,July,Nizana,Meru,Deal of the Week,1600.0,1200.0
2026,July,Trecento,Meru,Deal of the Week,2100.0,1700.0
2026,July,Zipped Lunchset,Meru,Deal of the Week,1600.0,1200.0
2026,July,Antitheft,Mombasa,Deal of the Week,2600.0,2200.0
2026,July,Don,Mombasa,Deal of the Week,1600.0,1200.0
2026,July,Kate,Mombasa,Deal of the Week,1600.0,1200.0
2026,July,Liam,Mombasa,Deal of the Week,2100.0,1700.0
2026,July,Moon Bag,Mombasa,Deal of the Week,1600.0,1200.0
2026,July,Oval Handbag,Mombasa,Deal of the Week,1600.0,1200.0
2026,July,Remi,Mombasa,Deal of the Week,2700.0,2300.0
2026,July,Taji,Mombasa,Deal of the Week,3000.0,2600.0
2026,July,Trecento,Mombasa,Deal of the Week,2100.0,1700.0
2026,July,Antitheft,Nairobi Town,Deal of the Week,2600.0,2200.0
2026,July,Elyse,Nairobi Town,Deal of the Week,3100.0,2700.0
2026,July,Jamela,Nairobi Town,Deal of the Week,3600.0,3200.0
2026,July,Kai,Nairobi Town,Deal of the Week,2800.0,2400.0
2026,July,Lola,Nairobi Town,Deal of the Week,2100.0,1800.0
2026,July,Nizana,Nairobi Town,Deal of the Week,1600.0,1200.0
2026,July,Oval Handbag,Nairobi Town,Deal of the Week,1600.0,1200.0
2026,July,Reo Travel,Nairobi Town,Deal of the Week,2800.0,2400.0
2026,July,Safiri Travel,Nairobi Town,Deal of the Week,3600.0,3200.0
